variavel,tipo_dado,formula,unidade,minimo,q1,mediana,media,q3,maximo,valores_faltantes,casos_especiais
total_dias_ativos,int,nunique(Date) agrupado por UserID no dataset II (dias distintos com pelo menos 1 aposta),dias,1.0,14.0,62.0,159.7539508874301,201.0,2356.0,0,"Minimo estrutural = 1 (usuario aparece no dataset II so se apostou pelo menos 1 dia). 162 usuarios (3.9%) tem exatamente 1 dia ativo - nesses casos, media_diaria_apostada = total_apostado e desvio_padrao_apostado / tendencia_crescimento_apostado sao forcados a 0 (nao ha variancia nem serie temporal)."
total_apostado,float,"sum(Turnover) agrupado por UserID no dataset II (soma de todas as apostas, todos os produtos e dias)",unidade monetaria (moeda normalizada do dataset bwin),0.0,167.2622,1416.01,66016.88230453026,19863.43,12123136.8844,0,96 usuarios com total_apostado = 0. Esse valor e o denominador de taxa_perda_sobre_apostado - divisao por zero e tratada explicitamente no pipeline (substituida por NaN e depois preenchida com 0).
total_perdas,float,sum(Hold) agrupado por UserID no dataset II (Hold = receita liquida da casa; pode ser negativo),unidade monetaria (moeda normalizada do dataset bwin),-35851.11,25.0,143.03342905554737,3130.1614447266584,1564.1,181055.9997,0,"408 usuarios (9.9%) com total_perdas negativo (usuario ganhou mais do que apostou na soma do periodo - Hold negativo e um valor valido no dataset original, nao e erro). Isso faz taxa_perda_sobre_apostado tambem ser negativa nesses casos."
numero_total_apostas,"float (contagem, sem casas decimais na pratica)",sum(NumberofBets) agrupado por UserID no dataset II,contagem de apostas,1.0,76.0,725.0,10729.885241915876,5402.0,2371197.0,0,Nenhum caso de divisao por zero direta; e numerador em duas features derivadas (intensidade e media por produto).
variedade_produtos,int,nunique(ProductType) agrupado por UserID no dataset II,contagem de tipos de produto distintos,1.0,2.0,3.0,3.4174568441526865,5.0,14.0,0,"Minimo estrutural = 1. 687 usuarios (16.7%) jogaram apenas 1 tipo de produto. E o denominador de media_apostas_por_produto - como o minimo e sempre >=1, nao ha risco estrutural de divisao por zero, mas o caso de 1 produto faz media_apostas_por_produto == numero_total_apostas (sem efeito de diluicao)."
media_diaria_apostada,float,"media do turnover diario (Turnover somado por UserID+Date, depois media entre os dias ativos)",unidade monetaria por dia,0.0,7.8890909090909105,33.53125,288.174604655071,173.9132258064516,41562.4,0,"Para usuarios com 1 dia ativo, e identica ao total_apostado (media de 1 unico valor)."
desvio_padrao_apostado,float,desvio padrao amostral (ddof=1) do turnover diario (mesma agregacao de media_diaria_apostada),unidade monetaria por dia,0.0,8.651383295465495,45.6257888626572,534.8491135928839,285.2027634659544,65627.37986289151,0,Desvio padrao amostral com ddof=1 e indefinido (NaN) quando ha apenas 1 observacao - tratado explicitamente no pipeline de agregacao (fillna(0)). 245 usuarios (6.0%) tem desvio_padrao_apostado = 0 (inclui os usuarios de 1 dia ativo e usuarios com valor diario constante).
taxa_perda_sobre_apostado,float,total_perdas / total_apostado,proporcao (adimensional),-9.457107949452013,0.0430095864045675,0.1187218847099197,0.19615436584941115,0.28617712145099,1.0,0,"Divisao por zero quando total_apostado = 0 (96 casos) - tratada como 0 apos substituir o denominador por NaN e preencher o resultado com fillna(0). 407 usuarios com taxa negativa (total_perdas < 0, usuario com saldo positivo). 0 usuarios com taxa > 1 (perdas registradas maiores que o total apostado bruto, pode ocorrer por ajustes/estornos no Hold que nao batem diretamente com o Turnover)."
intensidade_apostas_por_dia_ativo,float,numero_total_apostas / total_dias_ativos,apostas por dia ativo,0.5,3.303703703703704,11.976878612716764,50.344705415422354,41.433085501858734,1512.0833333333333,0,"Sem risco estrutural de divisao por zero (total_dias_ativos >= 1 sempre, por construcao do dataset II)."
tendencia_crescimento_apostado,float,inclinacao (slope) da regressao linear (scipy.stats.linregress) do turnover diario contra os dias corridos desde a primeira aposta do usuario,unidade monetaria por dia (variacao do valor apostado por dia corrido),-5313.5196000000005,-0.088207076227529,-0.0006236870934735,1.8756321069946278,0.0549496299886531,6780.0,0,"Forcado para 0 quando ha menos de 2 dias ativos (162 usuarios) ou quando todas as apostas caem no mesmo dia calendario (x constante, regressao indefinida). 245 usuarios (6.0%) tem valor exatamente 0 por essas razoes. Valores extremos (positivos ou negativos) podem ocorrer com poucos dias ativos muito espacados no tempo, tornando a inclinacao sensivel a outliers."
concentracao_apostas_dias_ativos,float,coeficiente de Gini da distribuicao do turnover diario entre os dias ativos do usuario,"indice de Gini (0 a 1, adimensional)",0.0,0.5006285700223938,0.6194835896281048,0.5987651661419959,0.7430556495677005,0.9975041570169588,0,Forcado para 0 quando ha <=1 dia ativo ou soma de turnover = 0 (formula indefinida nesses casos). 245 usuarios (6.0%) tem valor exatamente 0. Valores proximos de 1 indicam concentracao extrema (quase todo o valor apostado em 1-2 dias).
media_apostas_por_produto,float,numero_total_apostas / variedade_produtos,apostas por tipo de produto,1.0,38.0,252.25,2150.3581707915773,1335.0,474239.4,0,"Sem risco estrutural de divisao por zero (variedade_produtos >= 1 sempre, por construcao do dataset II)."
